#rnasequencing #genomics #sequencing http://t.co/YWUunKdna1"
309013493321965569,2013-03-05 18:52:12 -0500,genetics_blog,Comprehensive evaluation of differential expression analysis methods for RNA-seq data http://t.co/A9DXPJ8UMU
309015631162920960,2013-03-05 19:00:42 -0500,assemblathon,“@genetics_blog: Comprehensive evaluation of differential expression analysis methods for RNA-seq data http://t.co/KCbEyTdPyW”
309045767853723650,2013-03-05 21:00:27 -0500,SeqBench,RT @genetics_blog: Comprehensive evaluation of differential expression analysis methods for RNA-seq data http://t.co/A9DXPJ8UMU
309045785188790273,2013-03-05 21:00:31 -0500,lexnederbragt,RT @genetics_blog: Comprehensive evaluation of differential expression analysis methods for RNA-seq data http://t.co/A9DXPJ8UMU
309048832983965696,2013-03-05 21:12:38 -0500,genetics_blog,Interpreting personal transcriptomes: personalized mechanism-scale profiling of RNA-seq data http://t.co/QgxjlNv5Lb #PSB13
309053499033915392,2013-03-05 21:31:10 -0500,SAGRudd,RT @genetics_blog: Interpreting personal transcriptomes: personalized mechanism-scale profiling of RNA-seq data http://t.co/QgxjlNv5Lb #PSB13
309060814982246400,2013-03-05 22:00:15 -0500,Lisa_Crossman,RT @assemblathon: “@genetics_blog: Comprehensive evaluation of differential expression analysis methods for RNA-seq data http://t.co/KCbEyTdPyW”
309094884474753026,2013-03-06 00:15:37 -0500,rantalainen,RT @genetics_blog: Comprehensive evaluation of differential expression analysis methods for RNA-seq data http://t.co/A9DXPJ8UMU
309127780795293696,2013-03-06 02:26:20 -0500,aaronquinlan,Just got a glimpse of a colleague's RNA-seq data.  And I thought making sense of structural variants was hard.
309138386902470657,2013-03-06 03:08:29 -0500,notSoJunkDNA,RT @aaronquinlan: Just got a glimpse of a colleague's RNA-seq data.  And I thought making sense of structural variants was hard.
309164291423096832,2013-03-06 04:51:25 -0500,animesh1977,A Robust Method for Transcript Quantification with RNA-Seq Data http://t.co/dsXWTsQef9
309177513861607424,2013-03-06 05:43:58 -0500,IWeissAU,Determination of dosage compensation of the mammalian X chromosome by RNA-seq is dependent on analytical approach http://t.co/6OdODMY0E1
309177523709833216,2013-03-06 05:44:00 -0500,RogerUSA1,Check out: Determination of dosage compensation of the mammalian X chromosome by RNA-seq is dependent on analy... http://t.co/zxXc7aBI6D
309177534182989824,2013-03-06 05:44:03 -0500,MedStu21,Great: Determination of dosage compensation of the mammalian X chromosome by RNA-seq is dependent on analytica... http://t.co/FPRq75DDk6
309181306766495745,2013-03-06 05:59:02 -0500,rnomics,Determination of dosage compensation of the mammalian X chromosome by #RNA-seq is dependent on... http://t.co/AKE0DQvIhl #BMC @MyEN
309183927027904512,2013-03-06 06:09:27 -0500,Articles4Serps,RT @rnomics: Determination of dosage compensation of the mammalian X chromosome by #RNA-seq is dependent on... http://t.co/AKE0DQvIhl #BMC @MyEN
309185145259298816,2013-03-06 06:14:17 -0500,rnomics,Determination of dosage compensation of the mammalian X chromosome by #RNA-seq is dependent on... http://t.co/GQdxwtpv1h #BMC @MyEN
309216297571463169,2013-03-06 08:18:04 -0500,Articles4Serps,RT @rnomics: Determination of dosage compensation of the mammalian X chromosome by #RNA-seq is dependent on... http://t.co/GQdxwtpv1h #BMC @MyEN
309220063137894400,2013-03-06 08:33:02 -0500,Dwro8ea,RT @aaronquinlan: Just got a glimpse of a colleague's RNA-seq data.  And I thought making sense of structural variants was hard.
309220574469693440,2013-03-06 08:35:04 -0500,Dwro8ea,@aaronquinlan now I'm getting worried..I'm supposed to do my thesis on RNA-seq data&I've never worked with it before.
309237177806626816,2013-03-06 09:41:03 -0500,sidderb,"How many reads per sample are people using for RNA-seq these days?  I last ran 100 million paired-end, but this is clearly overkill!"
309300284960677889,2013-03-06 13:51:49 -0500,IBMCP,"Conceptos y consideraciones para análisis de datos RNA-Seq, con tutorial de cuantificación de expresión diferencial http://t.co/WOh95fVisq"
309301600327987202,2013-03-06 13:57:02 -0500,rnomics,Featured #RNA-Seq Job – Research Associate III... http://t.co/z8RV9m5CVS #Jobs #BaylorResearchInstituteDallasBioinformatics #RNAseq @MyEN
309325317267410944,2013-03-06 15:31:17 -0500,rnomics,Canonical correlation analysis (CCA) for #RNA-Seq co-expression networks http://t.co/Xk1NR0Hahn #ExpressionandQuantification #RNAseq @MyEN
309337619135860736,2013-03-06 16:20:10 -0500,WorldNewsEU,Determination of dosage compensation of the mammalian X chromosome by RNA-seq is dependent on ... - http://t.co/ayyYWZDxt1
309338585599975424,2013-03-06 16:24:00 -0500,sjackman,RT @genetics_blog: Comprehensive evaluation of differential expression analysis methods for RNA-seq data http://t.co/A9DXPJ8UMU
309341007542116353,2013-03-06 16:33:38 -0500,BioStarQuestion,Tutorial: RNA Seq Experimental Design for Measuring Differential Gene Expression http://t.co/OOCOOoGNce
